,ic_h1,ic_h5,ic_h20
2020-03-25,0.4285714285714286,0.942857142857143,0.942857142857143
2020-03-27,-0.261904761904762,-0.5476190476190477,-0.7142857142857144
2020-04-08,-0.14285714285714288,-0.42857142857142866,-0.5714285714285715
2020-04-24,0.06993006993006995,-0.32867132867132864,-0.18881118881118883
2020-04-28,-0.08571428571428573,0.6,-0.7714285714285715
2020-05-06,0.4523809523809524,0.38095238095238104,-0.04761904761904763
2020-05-07,0.39285714285714296,0.25,0.21428571428571433
2020-05-13,-0.14285714285714288,0.4285714285714286,0.3142857142857143
2020-05-14,0.41818181818181827,-0.19090909090909092,0.1272727272727273
2020-05-18,0.034965034965034975,0.3916083916083916,0.17482517482517487
2020-05-19,0.6571428571428573,-0.5428571428571429,-0.7714285714285715
2020-05-22,-0.10714285714285716,-0.14285714285714288,0.14285714285714288
2020-05-27,-0.7999999999999999,-0.3,-0.09999999999999999
2020-05-28,-0.6571428571428573,0.6,-0.2
2020-05-29,-0.28571428571428575,-0.14285714285714288,-0.1785714285714286
2020-06-04,0.8999999999999998,-0.7,-0.7
2020-06-05,0.2606060606060606,0.7696969696969697,0.33333333333333326
2020-06-11,-0.4047619047619048,0.7380952380952381,0.5952380952380953
2020-06-23,0.7619047619047621,0.7380952380952381,0.2142857142857143
2020-06-24,0.5357142857142858,-0.03571428571428572,-0.07142857142857144
2020-06-29,0.1456140350877193,0.021052631578947368,0.18070175438596495
2020-06-30,-0.5,0.0,-0.21428571428571433
2020-07-02,0.04895104895104895,0.0,-0.3216783216783217
2020-07-06,0.8571428571428573,-0.3214285714285715,-0.1785714285714286
2020-07-07,-0.11904761904761905,0.5476190476190477,0.07142857142857144
2020-07-08,0.4175824175824176,0.03296703296703297,0.010989010989010988
2020-07-14,0.14285714285714288,0.3142857142857143,-0.028571428571428574
2020-07-15,-0.028571428571428574,0.6571428571428573,-0.48571428571428577
2020-07-16,-0.6190476190476191,-0.4285714285714286,0.1666666666666667
2020-07-20,-0.2517482517482518,-0.15384615384615385,-0.04195804195804196
2020-07-21,-0.3696969696969697,0.43030303030303024,0.38181818181818183
2020-07-22,-0.2606060606060606,-0.4666666666666666,-0.3939393939393939
2020-07-24,0.49999999999999994,-0.19999999999999998,-0.09999999999999999
2020-07-27,-0.48571428571428577,0.3714285714285715,0.942857142857143
2020-07-28,-0.2,-0.14285714285714288,-0.08571428571428573
2020-07-29,-0.3454545454545455,-0.5090909090909091,-0.3454545454545455
2020-07-30,-0.14285714285714288,-0.14285714285714288,0.03571428571428572
2020-08-03,-0.28571428571428564,-0.11785714285714284,0.1714285714285714
2020-08-04,-0.3571428571428572,0.07142857142857144,-0.5357142857142858
2020-08-05,-0.28571428571428575,0.10714285714285716,0.28571428571428575
2020-08-06,0.21428571428571433,0.0,0.10714285714285716
2020-08-07,-0.19047619047619052,-0.07142857142857144,0.04761904761904763
2020-08-11,0.028571428571428574,-0.028571428571428574,-0.2571428571428572
2020-08-13,0.009090909090909092,0.39090909090909093,0.17272727272727276
2020-08-18,-0.1785714285714286,-0.14285714285714288,-0.21428571428571433
2020-08-19,0.0,0.16666666666666669,0.3
2020-08-21,0.3,0.0,0.39999999999999997
2020-08-24,-0.09523809523809526,-0.523809523809524,-0.4285714285714286
2020-08-25,0.26373626373626374,0.3131868131868132,-0.6318681318681317
2020-08-28,0.6,-0.7999999999999999,-0.3
2020-08-31,0.48333333333333334,0.35,0.45
2020-09-02,0.6,-0.19999999999999998,-0.7
2020-09-03,0.17272727272727276,-0.09090909090909091,0.3090909090909091
